2025-04-27 20:54:19 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-04-27 20:54:19 [main] INFO  com.example.demo.DemoApplication - Starting DemoApplication using Java 23.0.2 with PID 14556 (C:\D in C\IntelliJ\IntelliJ projects\demo\target\classes started by nikit in C:\D in C\IntelliJ\IntelliJ projects\demo)
2025-04-27 20:54:19 [main] INFO  com.example.demo.DemoApplication - No active profile set, falling back to 1 default profile: "default"
2025-04-27 20:54:21 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-04-27 20:54:21 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 74 ms. Found 4 JPA repository interfaces.
2025-04-27 20:54:22 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-04-27 20:54:22 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-04-27 20:54:22 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-04-27 20:54:22 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.34]
2025-04-27 20:54:22 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-04-27 20:54:22 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2408 ms
2025-04-27 20:54:22 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-04-27 20:54:22 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.6.5.Final
2025-04-27 20:54:22 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-04-27 20:54:23 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-04-27 20:54:23 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-04-27 20:54:23 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@718f3088
2025-04-27 20:54:23 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-04-27 20:54:23 [main] INFO  o.hibernate.orm.connections.pooling - HHH10001005: Database info:
2025-04-27 20:54:25 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-04-27 20:54:25 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-04-27 20:54:26 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-04-27 20:54:27 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-04-27 20:54:28 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-04-27 20:54:28 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-04-27 20:54:28 [main] INFO  com.example.demo.DemoApplication - Started DemoApplication in 8.952 seconds (process running for 9.914)
2025-04-27 20:55:39 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-04-27 20:55:39 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-04-27 20:55:39 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2025-04-27 20:55:57 [http-nio-8080-exec-4] INFO  ApplicationLog - Executing: LogController.generateLogs(..)
2025-04-27 20:55:57 [LogTaskExecutor-1] INFO  ApplicationLog - Executing: LogService.generateLogFileForDateAsync(..)
2025-04-27 20:55:57 [http-nio-8080-exec-4] INFO  ApplicationLog - Successfully executed: LogController.generateLogs(..)
2025-04-27 20:55:57 [LogTaskExecutor-1] INFO  ApplicationLog - Successfully executed: LogService.generateLogFileForDateAsync(..)
2025-04-27 20:56:08 [http-nio-8080-exec-5] INFO  ApplicationLog - Executing: LogController.getTaskStatus(..)
2025-04-27 20:56:08 [http-nio-8080-exec-5] INFO  ApplicationLog - Executing: LogService.getTaskStatus(..)
2025-04-27 20:56:08 [http-nio-8080-exec-5] INFO  ApplicationLog - Successfully executed: LogService.getTaskStatus(..)
2025-04-27 20:56:08 [http-nio-8080-exec-5] INFO  ApplicationLog - Successfully executed: LogController.getTaskStatus(..)
